#Time(s),T_Probe(K),T_VTI(K),B(T),Rxx_B_R,Rxx_B_I,Rxx_B_phase,Rxy_B_R,Rxy_B_I,Rxy_B_phase,Rxx_A_R,Rxx_A_I,Rxx_A_phase,Rxy_A_R,Rxy_A_I,Rxy_A_phase,Stabilized
#Date : 2026-03-20,#Sample : Cu_Modal-2026,#Comment : ,,,,,,,,,,,,,,
1.000000000E+0,2.986780000E+2,2.579062000E+2,-9.992700000E+0,1.153795058E-3,1.076116404E-2,-1.995653543E-3,1.605972807E-4,1.076116404E-2,1.796968170E+2,3.362497242E-3,1.130338017E-2,-3.516130252E-3,9.601768607E-5,1.130338017E-2,2.550604669E-1,1.000000000E+0
2.000000000E+0,2.986780000E+2,2.579062000E+2,-9.992700000E+0,1.153776176E-3,1.076117655E-2,6.274714983E-2,1.602000247E-4,1.076117655E-2,1.795387634E+2,3.363095284E-3,1.130335879E-2,1.604789642E-2,9.616214420E-5,1.130335879E-2,8.349607133E-1,1.000000000E+0
3.000000000E+0,2.986780000E+2,2.579007000E+2,-9.992700000E+0,1.153744228E-3,1.076124837E-2,1.029727777E-1,1.605128837E-4,1.076124837E-2,1.792436678E+2,3.362899892E-3,1.130341881E-2,2.405866669E-2,9.587714788E-5,1.130341881E-2,1.142666356E+0,1.000000000E+0
4.000000000E+0,2.986780000E+2,2.578789000E+2,-9.992700000E+0,1.152569560E-3,1.076115730E-2,1.308744970E-1,1.610605568E-4,1.076115730E-2,1.790251872E+2,3.361599484E-3,1.130337762E-2,4.140074235E-2,9.490644668E-5,1.130337762E-2,1.609742384E+0,1.000000000E+0
5.000000000E+0,2.986780000E+2,2.578853000E+2,-9.992700000E+0,1.151812255E-3,1.076105941E-2,1.133471814E-1,1.617090002E-4,1.076105941E-2,1.791414877E+2,3.360899706E-3,1.130326382E-2,3.462972907E-2,9.409043607E-5,1.130326382E-2,1.159876439E+0,1.000000000E+0
6.000000000E+0,2.986780000E+2,2.579271000E+2,-9.992700000E+0,1.152253170E-3,1.076101973E-2,7.995297876E-2,1.613592768E-4,1.076101973E-2,1.792612813E+2,3.361607703E-3,1.130319825E-2,2.500903849E-2,9.469768007E-5,1.130319825E-2,1.099669426E+0,1.000000000E+0
7.000000000E+0,2.986780000E+2,2.579431000E+2,-9.992700000E+0,1.152253170E-3,1.076101973E-2,7.995297876E-2,1.613592768E-4,1.076101973E-2,1.792612813E+2,3.361607703E-3,1.130319825E-2,2.500903849E-2,9.469768007E-5,1.130319825E-2,1.099669426E+0,1.000000000E+0
8.000000000E+0,2.986780000E+2,2.579286000E+2,-9.992100000E+0,1.151963549E-3,1.076097726E-2,6.023063064E-2,1.615431067E-4,1.076097726E-2,1.793616210E+2,3.360933602E-3,1.130308728E-2,2.009731297E-2,9.444782640E-5,1.130308728E-2,9.589360338E-1,1.000000000E+0
9.000000000E+0,2.986780000E+2,2.578772000E+2,-9.990900000E+0,1.150944984E-3,1.076101061E-2,1.011624792E-1,1.624519704E-4,1.076101061E-2,1.794136220E+2,3.360042433E-3,1.130315396E-2,2.854862233E-2,9.370662354E-5,1.130315396E-2,1.249227633E+0,1.000000000E+0
1.000000000E+1,2.986780000E+2,2.578543000E+2,-9.989300000E+0,1.151791509E-3,1.076110402E-2,3.782147719E-2,1.622468448E-4,1.076110402E-2,1.795423478E+2,3.360654867E-3,1.130328193E-2,8.186051120E-3,9.383077228E-5,1.130328193E-2,7.493506820E-1,1.000000000E+0
1.100000000E+1,2.986790000E+2,2.578951000E+2,-9.987300000E+0,1.151588618E-3,1.076114838E-2,-6.299210915E-5,1.618928701E-4,1.076114838E-2,1.797175359E+2,3.360533504E-3,1.130330215E-2,-1.987680319E-3,9.402112381E-5,1.130330215E-2,2.905092643E-1,1.000000000E+0
1.200000000E+1,2.986790000E+2,2.579450000E+2,-9.985000000E+0,1.152107394E-3,1.076109335E-2,5.407404243E-2,1.614158276E-4,1.076109335E-2,1.795176814E+2,3.361006526E-3,1.130324027E-2,1.808270199E-2,9.471454911E-5,1.130324027E-2,6.847094541E-1,1.000000000E+0
1.300000000E+1,2.986790000E+2,2.579829000E+2,-9.982500000E+0,1.152421266E-3,1.076098884E-2,6.356902608E-2,1.618363620E-4,1.076098884E-2,1.794640623E+2,3.360945593E-3,1.130312517E-2,1.828532178E-2,9.493118104E-5,1.130312517E-2,8.628467479E-1,1.000000000E+0
1.400000000E+1,2.986790000E+2,2.579670000E+2,-9.979900000E+0,1.152988448E-3,1.076095970E-2,4.238175691E-2,1.606731386E-4,1.076095970E-2,1.794878282E+2,3.362083764E-3,1.130314299E-2,1.285026260E-2,9.548263744E-5,1.130314299E-2,8.490882895E-1,1.000000000E+0
1.500000000E+1,2.986790000E+2,2.579471000E+2,-9.977100000E+0,1.152674779E-3,1.076098191E-2,2.367416470E-2,1.612697699E-4,1.076098191E-2,1.795169728E+2,3.361798469E-3,1.130315860E-2,4.505055441E-3,9.491209258E-5,1.130315860E-2,5.134502070E-1,1.000000000E+0
1.600000000E+1,2.986790000E+2,2.579617000E+2,-9.974600000E+0,1.153597298E-3,1.076104063E-2,3.865298162E-2,1.604174870E-4,1.076104063E-2,1.795112874E+2,3.362366569E-3,1.130318324E-2,8.293344984E-3,9.581508940E-5,1.130318324E-2,6.215015220E-1,1.000000000E+0
1.700000000E+1,2.986790000E+2,2.579783000E+2,-9.971600000E+0,1.152564181E-3,1.076104143E-2,4.900063003E-2,1.612208445E-4,1.076104143E-2,1.794401635E+2,3.361508513E-3,1.130320822E-2,1.610389443E-2,9.469719007E-5,1.130320822E-2,6.469994975E-1,1.000000000E+0
1.800000000E+1,2.986790000E+2,2.579726000E+2,-9.968300000E+0,1.153270611E-3,1.076101250E-2,7.196253012E-2,1.606075680E-4,1.076101250E-2,1.794280751E+2,3.362383199E-3,1.130313036E-2,2.287923079E-2,9.544676637E-5,1.130313036E-2,9.383433364E-1,1.000000000E+0
1.900000000E+1,2.986790000E+2,2.579440000E+2,-9.964900000E+0,1.152728518E-3,1.076096737E-2,6.075989479E-2,1.612292749E-4,1.076096737E-2,1.794117703E+2,3.361684823E-3,1.130309211E-2,1.411613406E-2,9.488674980E-5,1.130309211E-2,9.810389400E-1,1.000000000E+0
2.000000000E+1,2.986800000E+2,2.579459000E+2,-9.961300000E+0,1.152148345E-3,1.076100555E-2,8.284187313E-2,1.616039696E-4,1.076100555E-2,1.793132200E+2,3.361154885E-3,1.130312184E-2,2.715610795E-2,9.428329416E-5,1.130312184E-2,1.075674151E+0,1.000000000E+0
2.100000000E+1,2.986800000E+2,2.579728000E+2,-9.957900000E+0,1.152148345E-3,1.076100555E-2,8.284187313E-2,1.616039696E-4,1.076100555E-2,1.793132200E+2,3.361154885E-3,1.130312184E-2,2.715610795E-2,9.428329416E-5,1.130312184E-2,1.075674151E+0,1.000000000E+0
