#Time(s),T_Probe(K),T_VTI(K),B(T),Rxx_B_R,Rxx_B_I,Rxx_B_phase,Rxy_B_R,Rxy_B_I,Rxy_B_phase,Rxx_A_R,Rxx_A_I,Rxx_A_phase,Rxy_A_R,Rxy_A_I,Rxy_A_phase,Stabilized
#Date : 2026-03-20,#Sample : Cu_Modal-2026,#Comment : ,,,,,,,,,,,,,,
1.000000000E+0,5.917370000E+1,5.092620000E+1,-9.993400000E+0,1.104306403E-4,1.153760148E-2,6.957505719E-2,7.703004465E-5,1.153760148E-2,1.796465130E+2,2.609940391E-4,1.204988733E-2,2.643364651E-1,6.503428945E-5,1.204988733E-2,7.791985235E-1,1.000000000E+0
2.000000000E+0,5.917370000E+1,5.093480000E+1,-9.993500000E+0,1.111215493E-4,1.153756020E-2,1.461176777E-1,7.662393130E-5,1.153756020E-2,1.796445254E+2,2.617575682E-4,1.204986870E-2,2.375506191E-1,6.555590700E-5,1.204986870E-2,7.763388001E-1,1.000000000E+0
3.000000000E+0,5.917390000E+1,5.093870000E+1,-9.993500000E+0,1.106294446E-4,1.153754751E-2,5.088513547E-1,7.665424034E-5,1.153754751E-2,1.790974675E+2,2.610918422E-4,1.204981090E-2,4.085176059E-1,6.513105778E-5,1.204981090E-2,1.257805933E+0,1.000000000E+0
4.000000000E+0,5.917370000E+1,5.093360000E+1,-9.993500000E+0,1.104966594E-4,1.153755827E-2,1.648076912E-1,7.700549405E-5,1.153755827E-2,1.789722239E+2,2.610207134E-4,1.204981384E-2,3.161058604E-1,6.501018723E-5,1.204981384E-2,8.496641550E-1,1.000000000E+0
5.000000000E+0,5.917370000E+1,5.092960000E+1,-9.993500000E+0,1.107715433E-4,1.153752545E-2,3.726264970E-1,7.729636832E-5,1.153752545E-2,1.791846797E+2,2.611075757E-4,1.204979772E-2,3.556051108E-1,6.505222488E-5,1.204979772E-2,8.223944903E-1,1.000000000E+0
6.000000000E+0,5.917380000E+1,5.092970000E+1,-9.993400000E+0,1.109838015E-4,1.153751668E-2,3.892893905E-1,7.683375462E-5,1.153751668E-2,1.791105225E+2,2.615890774E-4,1.204974662E-2,4.364925181E-1,6.542490781E-5,1.204974662E-2,1.107564561E+0,1.000000000E+0
7.000000000E+0,5.917410000E+1,5.093200000E+1,-9.993500000E+0,1.100266847E-4,1.153752938E-2,1.997426308E-1,7.768340052E-5,1.153752938E-2,1.793645599E+2,2.604920841E-4,1.204975198E-2,3.682905981E-1,6.471454426E-5,1.204975198E-2,9.145910720E-1,1.000000000E+0
8.000000000E+0,5.917420000E+1,5.093430000E+1,-9.992800000E+0,1.111489467E-4,1.153754288E-2,1.090072523E-1,7.683208985E-5,1.153754288E-2,1.795221024E+2,2.613834098E-4,1.204971846E-2,2.600746442E-1,6.551430700E-5,1.204971846E-2,1.160068555E+0,1.000000000E+0
9.000000000E+0,5.917450000E+1,5.093470000E+1,-9.991500000E+0,1.103933034E-4,1.153754140E-2,3.220778620E-1,7.739389703E-5,1.153754140E-2,1.793919612E+2,2.606974605E-4,1.204975500E-2,3.725604161E-1,6.509646153E-5,1.204975500E-2,1.104761210E+0,1.000000000E+0
1.000000000E+1,5.917480000E+1,5.093250000E+1,-9.990000000E+0,1.103933034E-4,1.153754140E-2,3.220778620E-1,7.739389703E-5,1.153754140E-2,1.793919612E+2,2.606974605E-4,1.204975500E-2,3.725604161E-1,6.509646153E-5,1.204975500E-2,1.104761210E+0,1.000000000E+0
