#Time(s),T_Probe(K),T_VTI(K),B(T),Rxx_B_R,Rxx_B_I,Rxx_B_phase,Rxy_B_R,Rxy_B_I,Rxy_B_phase,Rxx_A_R,Rxx_A_I,Rxx_A_phase,Rxy_A_R,Rxy_A_I,Rxy_A_phase,Stabilized
#Date : 2026-03-20,#Sample : Cu_Modal-2026,#Comment : ,,,,,,,,,,,,,,
1.000000000E+0,1.957950000E+1,1.490520000E+1,-9.991000000E+0,5.864299162E-5,1.161152324E-2,6.158381666E-1,7.729440188E-5,1.161152324E-2,1.796637840E+2,7.995481759E-5,1.212324487E-2,9.277188623E-1,6.803583932E-5,1.212324487E-2,9.599449873E-1,1.000000000E+0
2.000000000E+0,1.958040000E+1,1.490520000E+1,-9.991000000E+0,5.864299162E-5,1.161152324E-2,6.158381666E-1,7.729440188E-5,1.161152324E-2,1.796637840E+2,7.995481759E-5,1.212324487E-2,9.277188623E-1,6.803583932E-5,1.212324487E-2,9.599449873E-1,1.000000000E+0
3.000000000E+0,1.958130000E+1,1.490180000E+1,-9.991000000E+0,5.911545776E-5,1.161153005E-2,4.003774716E-1,7.695914466E-5,1.161153005E-2,1.795561483E+2,8.065301614E-5,1.212326369E-2,1.113740902E+0,6.857572588E-5,1.212326369E-2,9.739405268E-1,1.000000000E+0
4.000000000E+0,1.958230000E+1,1.490610000E+1,-9.990900000E+0,5.860840514E-5,1.161151227E-2,4.932974330E-1,7.736716065E-5,1.161151227E-2,1.794639879E+2,7.991986871E-5,1.212329194E-2,1.076974678E+0,6.795800407E-5,1.212329194E-2,7.901240055E-1,1.000000000E+0
5.000000000E+0,1.958330000E+1,1.491500000E+1,-9.991000000E+0,5.900124912E-5,1.161152224E-2,4.418745606E-1,7.711205114E-5,1.161152224E-2,1.796598415E+2,8.055414222E-5,1.212330425E-2,9.049593389E-1,6.815940033E-5,1.212330425E-2,5.031609057E-1,1.000000000E+0
6.000000000E+0,1.958410000E+1,1.492230000E+1,-9.991000000E+0,5.850526308E-5,1.161156551E-2,1.779491170E-1,7.732120489E-5,1.161156551E-2,1.794025243E+2,7.967735353E-5,1.212330574E-2,9.748824946E-1,6.774503297E-5,1.212330574E-2,8.021585724E-1,1.000000000E+0
7.000000000E+0,1.958480000E+1,1.492470000E+1,-9.991000000E+0,5.889975120E-5,1.161158624E-2,4.075172799E-1,7.711276826E-5,1.161158624E-2,1.791970952E+2,8.019361583E-5,1.212332442E-2,1.092328859E+0,6.803252417E-5,1.212332442E-2,8.305417532E-1,1.000000000E+0
8.000000000E+0,1.958530000E+1,1.491860000E+1,-9.990300000E+0,5.858605152E-5,1.161160596E-2,8.709066754E-1,7.708828383E-5,1.161160596E-2,1.792663315E+2,7.998895620E-5,1.212334011E-2,1.411417941E+0,6.785733388E-5,1.212334011E-2,1.038358828E+0,1.000000000E+0
9.000000000E+0,1.958580000E+1,1.491260000E+1,-9.989000000E+0,5.905192435E-5,1.161164946E-2,1.560261892E-1,7.709425270E-5,1.161164946E-2,1.799739237E+2,8.033334988E-5,1.212333728E-2,6.026565550E-1,6.802469965E-5,1.212333728E-2,8.193882679E-1,1.000000000E+0
1.000000000E+1,1.958610000E+1,1.491220000E+1,-9.987700000E+0,5.884476773E-5,1.161166386E-2,5.903215341E-1,7.682741431E-5,1.161166386E-2,1.793396482E+2,8.041632980E-5,1.212336692E-2,1.156639678E+0,6.799270969E-5,1.212336692E-2,1.104188396E+0,1.000000000E+0
1.100000000E+1,1.958650000E+1,1.491790000E+1,-9.985500000E+0,5.864301409E-5,1.161169414E-2,8.964314243E-2,7.699878608E-5,1.161169414E-2,1.795348216E+2,8.005386204E-5,1.212340905E-2,7.987586956E-1,6.782637775E-5,1.212340905E-2,5.540666739E-1,1.000000000E+0
1.200000000E+1,1.958660000E+1,1.492760000E+1,-9.983100000E+0,5.847098927E-5,1.161171858E-2,5.655986927E-1,7.776895121E-5,1.161171858E-2,1.793996025E+2,7.960552158E-5,1.212341868E-2,9.876843719E-1,6.772852447E-5,1.212341868E-2,7.611397849E-1,1.000000000E+0
1.300000000E+1,1.958670000E+1,1.492840000E+1,-9.981100000E+0,5.872762851E-5,1.161173097E-2,6.700436805E-2,7.699895244E-5,1.161173097E-2,1.799737929E+2,8.035956837E-5,1.212344916E-2,6.453804987E-1,6.798898751E-5,1.212344916E-2,5.620346543E-1,1.000000000E+0
1.400000000E+1,1.958680000E+1,1.492000000E+1,-9.978200000E+0,5.872762851E-5,1.161173097E-2,6.700436805E-2,7.699895244E-5,1.161173097E-2,1.799737929E+2,8.035956837E-5,1.212344916E-2,6.453804987E-1,6.798898751E-5,1.212344916E-2,5.620346543E-1,1.000000000E+0
1.500000000E+1,1.958700000E+1,1.491070000E+1,-9.975100000E+0,5.900771608E-5,1.161175192E-2,4.840829569E-1,7.673069572E-5,1.161175192E-2,1.797480011E+2,8.059328113E-5,1.212345988E-2,9.795942562E-1,6.826228402E-5,1.212345988E-2,8.459193060E-1,1.000000000E+0
1.600000000E+1,1.958720000E+1,1.490120000E+1,-9.972700000E+0,5.859271471E-5,1.161178225E-2,5.082088438E-1,7.709070478E-5,1.161178225E-2,1.794175213E+2,8.002621120E-5,1.212343682E-2,1.165832609E+0,6.760519455E-5,1.212343682E-2,8.478668609E-1,1.000000000E+0
1.700000000E+1,1.958740000E+1,1.489340000E+1,-9.969300000E+0,5.899020571E-5,1.161179452E-2,6.657389605E-1,7.635989585E-5,1.161179452E-2,1.798117365E+2,8.072636159E-5,1.212346602E-2,1.195805318E+0,6.827056656E-5,1.212346602E-2,7.646233803E-1,1.000000000E+0
1.800000000E+1,1.958760000E+1,1.488340000E+1,-9.965700000E+0,5.769837339E-5,1.161182105E-2,7.443183190E-1,7.757058736E-5,1.161182105E-2,1.794577479E+2,7.923996844E-5,1.212348337E-2,1.312302264E+0,6.739175521E-5,1.212348337E-2,8.454861183E-1,1.000000000E+0
1.900000000E+1,1.958780000E+1,1.487220000E+1,-9.963100000E+0,5.881555054E-5,1.161187789E-2,6.403323015E-1,7.635352279E-5,1.161187789E-2,1.794068133E+2,8.043898110E-5,1.212346400E-2,1.399217209E+0,6.830975111E-5,1.212346400E-2,9.357400419E-1,1.000000000E+0
2.000000000E+1,1.958800000E+1,1.486710000E+1,-9.959400000E+0,5.814195265E-5,1.161186404E-2,6.752032803E-1,7.681401205E-5,1.161186404E-2,1.795120772E+2,7.981832202E-5,1.212348976E-2,1.339153371E+0,6.773376632E-5,1.212348976E-2,9.087792291E-1,1.000000000E+0
2.100000000E+1,1.958830000E+1,1.486710000E+1,-9.955500000E+0,5.882782945E-5,1.161186260E-2,-1.871144205E-1,7.672094535E-5,1.161186260E-2,1.797914909E+2,8.025641243E-5,1.212349592E-2,6.400419112E-1,6.791977031E-5,1.212349592E-2,4.867323896E-1,1.000000000E+0
2.200000000E+1,1.958860000E+1,1.486810000E+1,-9.953000000E+0,5.851649316E-5,1.161189476E-2,7.265167952E-1,7.673458058E-5,1.161189476E-2,1.791895868E+2,8.019192021E-5,1.212353904E-2,1.233340650E+0,6.779313649E-5,1.212353904E-2,1.114557119E+0,1.000000000E+0
2.300000000E+1,1.958910000E+1,1.487050000E+1,-9.948800000E+0,5.839048600E-5,1.161192149E-2,1.685191268E-1,7.698371956E-5,1.161192149E-2,1.795129319E+2,7.968549513E-5,1.212353710E-2,1.036515861E+0,6.758369726E-5,1.212353710E-2,5.377259445E-1,1.000000000E+0
2.400000000E+1,1.958960000E+1,1.487710000E+1,-9.944800000E+0,5.816488958E-5,1.161197072E-2,8.382555061E-1,7.694832872E-5,1.161197072E-2,1.791223903E+2,8.010822111E-5,1.212359476E-2,1.445129222E+0,6.753142318E-5,1.212359476E-2,9.428923071E-1,1.000000000E+0
2.500000000E+1,1.959010000E+1,1.488470000E+1,-9.942300000E+0,5.804252877E-5,1.161198009E-2,2.184539005E-1,7.718802234E-5,1.161198009E-2,1.796158409E+2,7.935904785E-5,1.212361231E-2,8.518729265E-1,6.726680888E-5,1.212361231E-2,7.604136538E-1,1.000000000E+0
2.600000000E+1,1.959070000E+1,1.488720000E+1,-9.937800000E+0,5.875753527E-5,1.161199761E-2,3.378992816E-1,7.637013937E-5,1.161199761E-2,1.793790059E+2,8.027451925E-5,1.212365017E-2,1.036194305E+0,6.800498099E-5,1.212365017E-2,9.590921374E-1,1.000000000E+0
2.700000000E+1,1.959140000E+1,1.489200000E+1,-9.933700000E+0,5.833765790E-5,1.161202469E-2,4.829649715E-1,7.684803216E-5,1.161202469E-2,1.794227943E+2,7.975757893E-5,1.212365786E-2,7.976650443E-1,6.757616740E-5,1.212365786E-2,8.683310533E-1,1.000000000E+0
2.800000000E+1,1.959190000E+1,1.490330000E+1,-9.931200000E+0,5.833765790E-5,1.161202469E-2,4.829649715E-1,7.684803216E-5,1.161202469E-2,1.794227943E+2,7.975757893E-5,1.212365786E-2,7.976650443E-1,6.757616740E-5,1.212365786E-2,8.683310533E-1,1.000000000E+0
2.900000000E+1,1.959230000E+1,1.490740000E+1,-9.926600000E+0,5.859452845E-5,1.161199912E-2,4.393238250E-1,7.637885295E-5,1.161199912E-2,1.793904216E+2,8.018948090E-5,1.212369465E-2,9.608258067E-1,6.776833687E-5,1.212369465E-2,6.451242495E-1,1.000000000E+0
3.000000000E+1,1.959250000E+1,1.490410000E+1,-9.922500000E+0,5.883511218E-5,1.161199546E-2,3.960821001E-1,7.642147745E-5,1.161199546E-2,1.794309411E+2,7.990352423E-5,1.212370239E-2,1.023691634E+0,6.764855664E-5,1.212370239E-2,1.006924588E+0,1.000000000E+0
3.100000000E+1,1.959260000E+1,1.490540000E+1,-9.919800000E+0,5.829536795E-5,1.161201584E-2,1.746770031E-2,7.646466133E-5,1.161201584E-2,1.798412058E+2,8.015095718E-5,1.212373538E-2,7.973743257E-1,6.751262217E-5,1.212373538E-2,4.880780698E-1,1.000000000E+0
