#Time(s),T_Probe(K),T_VTI(K),B(T),Rxx_B_R,Rxx_B_I,Rxx_B_phase,Rxy_B_R,Rxy_B_I,Rxy_B_phase,Rxx_A_R,Rxx_A_I,Rxx_A_phase,Rxy_A_R,Rxy_A_I,Rxy_A_phase,Stabilized
#Date : 3/2/2026 1:16:37 PM,#Sample : Cu,#Comment : ,,,,,,,,,,,,,,
8.400000000E+1,2.340320000E+2,6.545570000E+1,-0.000000000E+0,8.293378365E-4,1.093240985E-2,1.698219047E-1,9.701639783E-5,1.093240985E-2,1.782249228E+2,2.514940579E-3,1.143558413E-2,2.604339426E-2,2.771826360E-5,1.143558413E-2,4.704987058E+0,0.000000000E+0
8.500000000E+1,2.335660000E+2,6.571500000E+1,0.000000000E+0,8.273555552E-4,1.093542031E-2,2.548892315E-1,9.701972132E-5,1.093542031E-2,1.779009198E+2,2.509620951E-3,1.143857366E-2,4.995264515E-2,2.820946158E-5,1.143857366E-2,7.424777643E+0,0.000000000E+0
8.600000000E+1,2.331040000E+2,6.595600000E+1,0.000000000E+0,8.276411934E-4,1.093824901E-2,2.187158975E-1,9.490050815E-5,1.093824901E-2,1.778163347E+2,2.506395441E-3,1.144152951E-2,4.743904547E-2,2.994218467E-5,1.144152951E-2,5.407713506E+0,0.000000000E+0
8.700000000E+1,2.326430000E+2,6.619510000E+1,1.000000000E-4,8.243510575E-4,1.094127549E-2,1.573497762E-1,9.695163230E-5,1.094127549E-2,1.782859867E+2,2.497277455E-3,1.144449428E-2,2.184845599E-2,2.899739821E-5,1.144449428E-2,4.181016712E+0,0.000000000E+0
8.800000000E+1,2.321800000E+2,6.642050000E+1,0.000000000E+0,8.198837512E-4,1.094382975E-2,2.820722181E-1,9.937804876E-5,1.094382975E-2,1.777942394E+2,2.487717485E-3,1.144728402E-2,6.034283986E-2,2.669789108E-5,1.144728402E-2,8.763503835E+0,0.000000000E+0
8.900000000E+1,2.317170000E+2,6.665800000E+1,0.000000000E+0,8.180508009E-4,1.094671373E-2,5.326393325E-2,9.858666218E-5,1.094671373E-2,1.791708379E+2,2.483416304E-3,1.145008411E-2,-1.604251567E-2,2.661944777E-5,1.145008411E-2,1.880231347E+0,0.000000000E+0
9.000000000E+1,2.312610000E+2,6.690440000E+1,0.000000000E+0,8.174697140E-4,1.094936576E-2,2.513625815E-1,9.778598777E-5,1.094936576E-2,1.775991718E+2,2.478326805E-3,1.145274030E-2,5.670569701E-2,2.820739827E-5,1.145274030E-2,6.538210780E+0,0.000000000E+0
9.100000000E+1,2.308140000E+2,6.713730000E+1,-0.000000000E+0,8.141574414E-4,1.095169310E-2,2.908766873E-1,9.897086343E-5,1.095169310E-2,1.775976742E+2,2.469753469E-3,1.145522333E-2,6.844212072E-2,2.670376129E-5,1.145522333E-2,8.864024559E+0,0.000000000E+0
9.200000000E+1,2.303670000E+2,6.736560000E+1,0.000000000E+0,8.132153012E-4,1.095435971E-2,2.597351890E-1,9.696281848E-5,1.095435971E-2,1.775587122E+2,2.466914280E-3,1.145790143E-2,6.717213529E-2,2.756472233E-5,1.145790143E-2,8.434729096E+0,0.000000000E+0
9.300000000E+1,2.299230000E+2,6.759180000E+1,-0.000000000E+0,8.115027130E-4,1.095662089E-2,3.727367769E-1,9.740234442E-5,1.095662089E-2,1.767595755E+2,2.460505072E-3,1.146031293E-2,8.912176549E-2,2.823122487E-5,1.146031293E-2,1.013235492E+1,0.000000000E+0
9.400000000E+1,2.294810000E+2,6.781370000E+1,0.000000000E+0,8.107854136E-4,1.095874411E-2,1.999552404E-1,9.579454544E-5,1.095874411E-2,1.778774787E+2,2.456549070E-3,1.146252043E-2,4.729946534E-2,2.882332770E-5,1.146252043E-2,5.848144144E+0,0.000000000E+0
9.500000000E+1,2.290430000E+2,6.802000000E+1,0.000000000E+0,8.081888888E-4,1.096084931E-2,2.491021977E-1,9.548102265E-5,1.096084931E-2,1.777369549E+2,2.449381596E-3,1.146473622E-2,5.532268907E-2,2.769232968E-5,1.146473622E-2,7.321433809E+0,0.000000000E+0
