#T0(K),B(T),f(Hz),I_R(A),I_offset(A),R_heater(Ohm),S/T0(uV/K2),T+_X(V),T+_Y(V),T+_R(V),T+_phase(V),T-_X(V),T-_Y(V),T-_R(V),T-_phase(V),VS_X(V),VS_Y(V),VS_R(V),VS_phase(V),T+_DC_Q(V),T-_DC_Q(V),VS_DC_Q(V),T+_DC_0(V),T-_DC_0(V),VS_DC_0(V),Time_0(s),Time_Q(s)
2.060000000E+1,0.000000000E+0,5.000000000E-1,9.966444739E-4,0.000000000E+0,5.100000000E+3,7.764692572E-2,2.947452923E-5,2.532925037E-5,3.886282364E-5,4.067446518E+1,-2.306608155E-5,-1.730239750E-5,2.883430811E-5,-1.431255969E+2,7.198561414E-6,1.008594948E-5,1.239135558E-5,5.448372387E+1,-6.131827037E-5,6.478159624E-5,-1.050370521E-5,1.093997078E-5,1.000813572E-5,1.145972666E-5,3.301800000E+4,3.326200000E+4
2.110000000E+1,0.000000000E+0,5.000000000E-1,1.010955930E-3,0.000000000E+0,5.100000000E+3,7.706777189E-2,3.056014770E-5,2.574145722E-5,3.995679354E-5,4.010814192E+1,-2.389475719E-5,-1.746937516E-5,2.959963898E-5,-1.438295896E+2,7.398591314E-6,1.029403056E-5,1.267699648E-5,5.429420021E+1,-6.384411850E-5,6.550480658E-5,-1.108356670E-5,1.048591644E-5,9.142456750E-6,1.075528136E-5,3.347600000E+4,3.378000000E+4
2.310000000E+1,0.000000000E+0,5.000000000E-1,1.064288727E-3,0.000000000E+0,5.100000000E+3,7.477736392E-2,3.490941831E-5,2.669362507E-5,4.394562494E-5,3.740348188E+1,-2.718453892E-5,-1.762287794E-5,3.239700040E-5,-1.470459289E+2,8.182173074E-6,1.094088771E-5,1.366202982E-5,5.320892401E+1,-7.289288288E-5,7.371730100E-5,-1.331372605E-5,1.257501540E-5,9.105376014E-6,1.179982570E-5,3.399400000E+4,3.429800000E+4
2.510010000E+1,0.000000000E+0,5.000000000E-1,1.111851997E-3,0.000000000E+0,5.100000000E+3,7.262590925E-2,3.895046560E-5,2.722351499E-5,4.752113826E-5,3.495072188E+1,-3.020972572E-5,-1.747071181E-5,3.489775582E-5,-1.499585977E+2,8.859510750E-6,1.145353435E-5,1.448013803E-5,5.227741638E+1,-8.294488981E-5,7.985087439E-5,-1.624837666E-5,1.264175464E-5,7.596658607E-6,1.080195396E-5,3.451200000E+4,3.481600000E+4
2.710010000E+1,0.000000000E+0,5.000000000E-1,1.154274596E-3,0.000000000E+0,5.100000000E+3,7.066055935E-2,4.266694268E-5,2.752287577E-5,5.077378488E-5,3.282457286E+1,-3.294535703E-5,-1.712152978E-5,3.712874613E-5,-1.525393384E+2,9.430312010E-6,1.188774528E-5,1.517396926E-5,5.157572885E+1,-9.066612535E-5,8.749024217E-5,-1.685394821E-5,1.474485078E-5,6.870096038E-6,1.202495103E-5,3.503000000E+4,3.533400000E+4
2.910020000E+1,0.000000000E+0,5.000000000E-1,1.192153087E-3,0.000000000E+0,5.100000000E+3,6.884345535E-2,4.605873559E-5,2.767139362E-5,5.373186415E-5,3.099681244E+1,-3.542014397E-5,-1.666071710E-5,3.914289468E-5,-1.548089243E+2,9.908075108E-6,1.225893301E-5,1.576234148E-5,5.105370935E+1,-1.003154334E-4,9.325508796E-5,-1.954953895E-5,1.502588258E-5,5.911058877E-6,1.088654060E-5,3.554800000E+4,3.585200000E+4
3.110020000E+1,0.000000000E+0,5.000000000E-1,1.226051744E-3,0.000000000E+0,5.100000000E+3,6.714194357E-2,4.914836946E-5,2.771397595E-5,5.642364257E-5,2.941795316E+1,-3.765769759E-5,-1.614815545E-5,4.097396374E-5,-1.567896593E+2,1.030800112E-5,1.257366542E-5,1.625890628E-5,5.065479972E+1,-1.078153086E-4,9.951861794E-5,-1.991254405E-5,1.627646074E-5,4.285326698E-6,1.126489947E-5,3.606600000E+4,3.637000000E+4
3.610080000E+1,0.000000000E+0,5.000000000E-1,1.296798282E-3,0.000000000E+0,5.100000000E+3,6.332878167E-2,5.566753741E-5,2.736822827E-5,6.203140412E-5,2.618044040E+1,-4.229827862E-5,-1.464863192E-5,4.476300945E-5,-1.608981412E+2,1.105433808E-5,1.310825325E-5,1.714714979E-5,4.985868473E+1,-1.272078338E-4,1.140207302E-4,-2.350365357E-5,1.987369934E-5,2.411058029E-6,1.112120852E-5,3.658400000E+4,3.688800000E+4
4.110090000E+1,0.000000000E+0,5.000000000E-1,1.353336727E-3,0.000000000E+0,5.100000000E+3,5.996353728E-2,6.089230415E-5,2.697854609E-5,6.660116457E-5,2.389589913E+1,-4.592428660E-5,-1.325404425E-5,4.779863972E-5,-1.639015232E+2,1.153492639E-5,1.344315331E-5,1.771363767E-5,4.936868701E+1,-1.444783915E-4,1.261829777E-4,-2.586310028E-5,2.248965316E-5,-1.376436788E-6,1.021441226E-5,3.710200000E+4,3.740600000E+4
4.610100000E+1,0.000000000E+0,5.000000000E-1,1.401834989E-3,0.000000000E+0,5.100000000E+3,5.703058951E-2,6.399691790E-5,2.647638055E-5,6.925753428E-5,2.247552392E+1,-4.798454342E-5,-1.206178321E-5,4.947730539E-5,-1.658900138E+2,1.164621118E-5,1.346486227E-5,1.780272137E-5,4.914237175E+1,-1.544299041E-4,1.354575742E-4,-2.539935427E-5,2.741694800E-5,-4.182412842E-6,1.150245964E-5,3.762000000E+4,3.792400000E+4
5.110060000E+1,0.000000000E+0,5.000000000E-1,1.447199621E-3,0.000000000E+0,5.100000000E+3,5.435669393E-2,6.422554761E-5,2.648149825E-5,6.947079601E-5,2.240734241E+1,-4.806321373E-5,-1.159157196E-5,4.944125124E-5,-1.664407147E+2,1.121290460E-5,1.317729845E-5,1.730232549E-5,4.960467972E+1,-1.576018615E-4,1.362156138E-4,-2.537291731E-5,2.973961623E-5,-7.403788648E-6,1.018971609E-5,3.813800000E+4,3.844200000E+4
5.610070000E+1,0.000000000E+0,5.000000000E-1,1.493075809E-3,0.000000000E+0,5.100000000E+3,5.180358429E-2,6.428707622E-5,2.559430291E-5,6.919462916E-5,2.170874607E+1,-4.790448766E-5,-1.057790858E-5,4.905845778E-5,-1.675481864E+2,1.085765241E-5,1.268740895E-5,1.669907170E-5,4.944369389E+1,-1.580046984E-4,1.383618164E-4,-2.310111702E-5,3.443847627E-5,-1.000153511E-5,1.144421099E-5,3.865600000E+4,3.896000000E+4
6.097640000E+1,0.000000000E+0,5.000000000E-1,1.541847382E-3,0.000000000E+0,5.100000000E+3,4.939696255E-2,6.424905002E-5,2.449927281E-5,6.876157954E-5,2.087271325E+1,-4.764034680E-5,-9.505319547E-6,4.857935596E-5,-1.687163784E+2,1.054453640E-5,1.215602394E-5,1.609211551E-5,4.906055159E+1,-1.591405819E-4,1.374810806E-4,-2.305425050E-5,3.755238493E-5,-1.412680672E-5,1.005077026E-5,3.917400000E+4,3.947800000E+4
6.323070000E+1,0.000000000E+0,5.000000000E-1,1.651305181E-3,0.000000000E+0,5.100000000E+3,4.784448947E-2,6.423684197E-5,2.387799948E-5,6.853124139E-5,2.039101248E+1,-4.747759414E-5,-8.876309323E-6,4.830021889E-5,-1.694103580E+2,1.033250539E-5,1.180784908E-5,1.569031541E-5,4.881231714E+1,-1.592128005E-4,1.391985197E-4,-2.129760886E-5,3.927941865E-5,-1.454352661E-5,1.137204402E-5,3.969200000E+4,4.017600000E+4
6.539940000E+1,0.000000000E+0,5.000000000E-1,1.769416399E-3,0.000000000E+0,5.100000000E+3,4.674200597E-2,6.423097451E-5,2.347237624E-5,6.838545653E-5,2.007417446E+1,-4.736250284E-5,-8.460243627E-6,4.811218701E-5,-1.698722187E+2,1.017195499E-5,1.155153086E-5,1.539176884E-5,4.863375384E+1,-1.620482523E-4,1.393100090E-4,-2.202002118E-5,3.861496371E-5,-1.533562732E-5,1.001023199E-5,4.039000000E+4,4.087400000E+4
