#Tav,S_AC,S_DC,dT_AC,dT_phase,Vs_phase,dT_DC,T0
9.0563500e+00,-9.3857778e-06,-6.2495128e-06,2.9769133e-01,-1.0721199e+02,7.3037045e+01,4.5912817e-01,6.9000000e+00
9.3419180e+00,-9.5839936e-06,-6.8710829e-06,3.1200407e-01,-1.0818421e+02,7.2194114e+01,4.5024864e-01,7.1000700e+00
9.6248055e+00,-9.9613577e-06,-6.7004967e-06,3.2038339e-01,-1.0900000e+02,7.1357740e+01,4.8856821e-01,7.3000200e+00
9.9023050e+00,-1.0161092e-05,-7.1957769e-06,3.3422093e-01,-1.0971737e+02,7.0684621e+01,4.9025589e-01,7.4998500e+00
1.0188299e+01,-1.0552232e-05,-7.0878610e-06,3.4187542e-01,-1.1049830e+02,6.9918468e+01,5.3287479e-01,7.7001600e+00
1.0459877e+01,-1.0679963e-05,-7.4254422e-06,3.5732667e-01,-1.1086764e+02,6.9525394e+01,5.2571313e-01,7.8994300e+00
1.0749802e+01,-1.0799855e-05,-8.0177720e-06,3.7295900e-01,-1.1133343e+02,6.9122894e+01,5.1659536e-01,8.0997900e+00
1.1023040e+01,-1.1100948e-05,-7.8176199e-06,3.8228573e-01,-1.1164790e+02,6.8765172e+01,5.5835563e-01,8.2997900e+00
1.1298137e+01,-1.1438833e-05,-7.7729140e-06,3.8998381e-01,-1.1189876e+02,6.8439859e+01,6.0670321e-01,8.4999800e+00
1.1579012e+01,-1.1524731e-05,-8.2689736e-06,4.0626679e-01,-1.1237915e+02,6.8026243e+01,5.9525186e-01,8.6999900e+00
1.1855827e+01,-1.1733062e-05,-8.4030964e-06,4.1819781e-01,-1.1261772e+02,6.7692460e+01,6.1507254e-01,8.9003100e+00
1.2135862e+01,-1.1996806e-05,-8.3919843e-06,4.2795874e-01,-1.1300201e+02,6.7350196e+01,6.4706431e-01,9.1001100e+00
1.2406520e+01,-1.2264868e-05,-8.3509226e-06,4.3724924e-01,-1.1326445e+02,6.6989698e+01,6.8714731e-01,9.2999100e+00
1.2686586e+01,-1.2205664e-05,-9.0947476e-06,4.5828146e-01,-1.1365018e+02,6.6678877e+01,6.4089559e-01,9.4998900e+00
1.2952833e+01,-1.2549339e-05,-8.8124672e-06,4.6438873e-01,-1.1391028e+02,6.6316974e+01,6.9886492e-01,9.7000100e+00
1.3229471e+01,-1.2716287e-05,-8.9846038e-06,4.7663704e-01,-1.1430767e+02,6.6016198e+01,7.1361247e-01,9.8999800e+00
1.3505457e+01,-1.2867994e-05,-9.2026844e-06,4.8935512e-01,-1.1451807e+02,6.5695257e+01,7.2788997e-01,1.0100000e+01
1.4189916e+01,-1.3288098e-05,-9.5423923e-06,5.1853543e-01,-1.1535458e+02,6.4836264e+01,7.7240513e-01,1.0600000e+01
1.4871054e+01,-1.3741259e-05,-9.7905669e-06,5.4505117e-01,-1.1612261e+02,6.4015590e+01,8.3582665e-01,1.1100000e+01
1.5546198e+01,-1.4084002e-05,-1.0175813e-05,5.7455255e-01,-1.1681646e+02,6.3240632e+01,8.7421635e-01,1.1600000e+01
1.6216440e+01,-1.4405103e-05,-1.0482213e-05,6.0345244e-01,-1.1754954e+02,6.2493510e+01,9.1542775e-01,1.2099900e+01
1.6881158e+01,-1.4703542e-05,-1.0826239e-05,6.3198724e-01,-1.1826697e+02,6.1786233e+01,9.5039841e-01,1.2600000e+01
1.7548780e+01,-1.4976098e-05,-1.1180248e-05,6.6022975e-01,-1.1891531e+02,6.1116085e+01,9.8540464e-01,1.3100000e+01
1.8205789e+01,-1.5354798e-05,-1.1157336e-05,6.8240803e-01,-1.1945033e+02,6.0480844e+01,1.0646882e+00,1.3600000e+01
1.8858800e+01,-1.5565204e-05,-1.1510372e-05,7.1081672e-01,-1.2000960e+02,5.9917704e+01,1.0917466e+00,1.4100000e+01
1.9526191e+01,-1.5456254e-05,-1.2898755e-05,7.5287683e-01,-1.2080669e+02,5.9356548e+01,9.9672316e-01,1.4600000e+01
2.0157585e+01,-1.6126613e-05,-1.1737599e-05,7.5680403e-01,-1.2096052e+02,5.8851937e+01,1.2140203e+00,1.5100000e+01
2.0797828e+01,-1.6248329e-05,-1.2166922e-05,7.8545976e-01,-1.2150598e+02,5.8361890e+01,1.2208681e+00,1.5600000e+01
2.1434798e+01,-1.6445682e-05,-1.2321764e-05,8.0799850e-01,-1.2196032e+02,5.7860956e+01,1.2672402e+00,1.6099900e+01
2.2069941e+01,-1.6344007e-05,-1.3297417e-05,8.4553262e-01,-1.2263178e+02,5.7405708e+01,1.1855698e+00,1.6599900e+01
2.2705543e+01,-1.6862096e-05,-1.2620473e-05,8.5025032e-01,-1.2286574e+02,5.6939830e+01,1.3666064e+00,1.7100000e+01
2.3325068e+01,-1.6974943e-05,-1.2849957e-05,8.7418164e-01,-1.2330480e+02,5.6526013e+01,1.3899557e+00,1.7600000e+01
