#T,rhoxx,Ixx
4.1180700e+00,5.1528037e-11,1.1643411e-02
4.1180800e+00,3.6620128e-11,1.1643403e-02
4.1180900e+00,5.2257384e-11,1.1643465e-02
4.1181000e+00,3.6098372e-11,1.1643394e-02
4.1181100e+00,5.7842914e-11,1.1643457e-02
4.1181300e+00,4.0397151e-11,1.1643403e-02
4.1181400e+00,4.3388142e-11,1.1643448e-02
4.1181700e+00,3.7238915e-11,1.1643397e-02
4.1182000e+00,5.4223443e-11,1.1643444e-02
4.1182100e+00,3.7583149e-11,1.1643378e-02
4.1182500e+00,5.4550432e-11,1.1643406e-02
4.1182600e+00,4.4997450e-11,1.1643375e-02
4.1183100e+00,3.6107492e-11,1.1643435e-02
4.1183200e+00,3.7969180e-11,1.1643388e-02
4.1183500e+00,2.7897547e-11,1.1643426e-02
4.1183900e+00,3.0299491e-11,1.1643407e-02
4.1184400e+00,3.4319013e-11,1.1643406e-02
4.1184600e+00,4.5709973e-11,1.1643362e-02
4.1185000e+00,7.0665152e-11,1.1643426e-02
4.1185300e+00,5.1351664e-11,1.1643388e-02
4.1185700e+00,5.0279088e-11,1.1643426e-02
4.1186000e+00,3.8796220e-11,1.1643367e-02
4.1186300e+00,4.9167644e-11,1.1643419e-02
4.1186800e+00,3.3999265e-11,1.1643380e-02
4.1186900e+00,5.0246605e-11,1.1643428e-02
4.1187600e+00,5.4319959e-11,1.1643446e-02
4.1187800e+00,5.8375701e-11,1.1643403e-02
4.1188300e+00,4.9600448e-11,1.1643433e-02
4.1188700e+00,5.1661373e-11,1.1643374e-02
4.1189000e+00,6.1549571e-11,1.1643445e-02
4.1189600e+00,3.9056974e-11,1.1643454e-02
4.1189700e+00,6.0229012e-11,1.1643376e-02
4.1190400e+00,3.8279247e-11,1.1643424e-02
4.1190700e+00,5.7685269e-11,1.1643438e-02
4.1191300e+00,5.2744686e-11,1.1643420e-02
4.1191900e+00,4.8925797e-11,1.1643387e-02
4.1192200e+00,5.1452617e-11,1.1643424e-02
4.1193000e+00,5.1099947e-11,1.1643453e-02
4.1193800e+00,4.7727023e-11,1.1643445e-02
4.1194200e+00,4.9914778e-11,1.1643409e-02
4.1194700e+00,5.9788871e-11,1.1643459e-02
4.1195400e+00,5.0774639e-11,1.1643346e-02
4.1195500e+00,4.5539059e-11,1.1643419e-02
4.1196300e+00,4.3474931e-11,1.1643402e-02
4.1196600e+00,4.3955925e-11,1.1643386e-02
4.1197200e+00,3.7312950e-11,1.1643387e-02
